Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Vinny Capra,BOS,3.834,10.17,9.28992,2.07514,1.50468,0.407521,0.0282847,0.13465,0.941841,0.885167,0.65887,0.0149647,2.2875,0.0964879,0.0692591,0.0554663,0.186339,0.132757,0.0413086,0.223376,0.0647857,0.224926,0.288031,0.279845,0.316815,0.264568,0.596659,0.0934391,4.21512,0.279729,,-0.00518647,0.801303,-0.400361,62.5987,-0.00518647,0.0,-0.45349777210503817,0.037367723882198334,-0.00676236,999.0,,,,,,,5.2,1.3,5.2,1.3,,,,,,,,,,,,,,,,,,,Red Sox,25040,681962
Chad Wallach,ATH,4.63,12.21,11.1827,2.13659,1.44375,0.385866,0.0164371,0.290532,1.08083,1.12117,0.761107,0.000474603,3.96592,0.122345,0.0702954,0.0612612,0.2075,0.0317136,0.0115879,0.191063,0.0623348,0.324809,0.191912,0.248841,0.30645,0.246323,0.555291,0.115387,2.76702,0.263854,,-0.0137631,0.781167,-0.661539,51.4071,-0.0137631,0.0,-0.7130590537562966,0.2243165820837021,-0.0070078,999.0,,,,,,,3.2,0.64,3.2,0.64,,,,,,,,,,,,,,,,,,,Athletics,17161,595453
Braden Montgomery,CHW,32.273,127.593,116.075,26.0305,17.1769,5.31645,0.39757,3.1395,13.1285,12.3694,9.15672,0.461947,36.9091,1.35808,0.709852,0.293499,2.23069,1.48749,0.519837,0.224256,0.0717651,0.289272,0.248088,0.287081,0.35805,0.282506,0.645131,0.133794,4.09902,0.298308,,-0.0951469,11.9114,-3.16466,78.8946,-0.0951469,0.0,-3.2690448462963104,-1.195296287536621,-0.00744808,999.0,,,,,,,101.4,3.16875,101.4,3.16875,,,,,,,,,,,,,,,,,,,White Sox,sa3038253,695731
Vimael Machín,COL,4.906,16.188,14.7692,3.57616,2.58024,0.696139,0.0563297,0.243449,1.58698,1.58407,1.1737,0.0747005,2.99695,0.0855685,0.114642,0.0448764,0.339441,0.143308,0.0576276,0.242136,0.0725044,0.185134,0.391631,0.299535,0.346349,0.283496,0.645884,0.104213,3.69113,0.28623,,-0.0197918,1.52424,-0.3885,66.136,-0.0197918,-0.02,-0.6695099920034409,0.055709872394800186,-0.00769609,999.0,,,,,,,13.3,2.66,13.3,2.66,,,,,,,,,,,,,,,,,,,Rockies,17684,605353
Cristian Pache,NYM,2.663,8.433,7.69008,1.51629,1.02913,0.284336,0.0512385,0.151588,0.843622,0.659007,0.606445,0.000984131,2.65401,0.0579421,0.041611,0.0369263,0.136686,0.126556,0.0448259,0.197175,0.0719133,0.314717,0.228502,0.259726,0.306612,0.251888,0.566338,0.109437,5.10251,0.277035,,-0.00421923,0.577628,-0.418796,61.4378,-0.00421923,-0.01,-0.38964229729026556,0.031095677986741066,-0.00797819,999.0,,,,,,,6.2,2.066666666,6.2,2.066666666,,,,,,,,,,,,,,,,,,,Mets,19948,665506
Sandy León,ATL,3.841,9.065,8.03869,1.41627,0.95151,0.241152,0.00733793,0.21627,0.771656,0.812739,0.693401,0.00380449,3.05467,0.0871933,0.0535511,0.0835854,0.14725,0.0267161,0.0078159,0.176182,0.0764921,0.336974,0.226997,0.247594,0.288717,0.240568,0.536311,0.112535,2.54333,0.248895,,-0.00926719,0.5376,-0.5335,49.9109,-0.00926719,0.0,-0.5474190544337034,0.1665380597114563,-0.00811197,999.0,,,,,,,0.6,0.15,0.6,0.15,,,,,,,,,,,,,,,,,,,Braves,5273,506702
Jack Winkler,HOU,3.588,6.328,5.83004,1.17173,0.818533,0.243648,0.00636253,0.103186,0.621937,0.499645,0.381245,0.0048468,1.74321,0.0632326,0.0357424,0.0177418,0.0915683,0.179093,0.0436443,0.200981,0.0602472,0.275476,0.218702,0.256124,0.298053,0.246386,0.554176,0.0970713,4.95305,0.265848,,0.00963949,0.405173,-0.342529,54.8451,0.00963949,0.0,-0.32713894080370665,0.02325102873146534,-0.00880793,999.0,,,,,,,-0.4,-0.1,-0.4,-0.1,,,,,,,,,,,,,,,,,,,Astros,29830,676466
Patrick Wisdom,SEA,2.026,6.846,6.12773,1.10606,0.554464,0.201772,0.0279455,0.321881,0.772983,0.899814,0.590475,0.00380501,2.67322,0.0749018,0.0360129,0.0159939,0.0597821,0.0736414,0.0197071,0.180501,0.0862511,0.39048,0.220885,0.259395,0.380136,0.278628,0.639531,0.199635,4.80949,0.247482,,-0.00136997,0.61755,-0.191358,83.0114,-0.00136997,-0.03,-0.13844765722751617,-0.1863271575421095,-0.00912081,999.0,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,Mariners,13602,621550
Oliver Dunn,CHW,4.058,11.627,10.4568,2.0478,1.37381,0.415467,0.0572797,0.201239,1.17661,0.851186,0.933993,0.0138136,3.86975,0.122459,0.0599859,0.0538004,0.173272,0.274863,0.0830686,0.195835,0.0803296,0.332824,0.241357,0.268228,0.304257,0.255887,0.572485,0.108422,5.59719,0.286477,,0.00500186,0.834155,-0.539665,60.5578,0.00500186,0.0,-0.535504977684468,0.04272119328379631,-0.00947428,999.0,,,,,,,4.2,1.05,4.2,1.05,,,,,,,,,,,,,,,,,,,White Sox,26295,686554
Sergio Alcántara,WSN,3.713,11.359,10.2294,2.05554,1.53268,0.403055,0.0340037,0.0857991,0.875798,0.825079,0.950188,0.00871883,2.91771,0.05285,0.0734105,0.0531685,0.210201,0.0680202,0.0272581,0.200944,0.0836507,0.256864,0.325662,0.270531,0.272157,0.24563,0.542688,0.0712124,3.25516,0.269854,,-0.014241,0.720333,-0.621821,53.8699,-0.014241,-0.01,-0.6352801844477654,0.16189815662801266,-0.0097673,999.0,,,,,,,4.2,1.05,4.2,1.05,,,,,,,,,,,,,,,,,,,Nationals,16417,642727
