Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Luis Gastelum (STL - RP) MiLB,,,23.5,22,1,0,3.94,1.28,10,22,8,3,23,0,1,0,0%
Alek Manoah,LAA,SP,60.4,52,3,0,4.99,1.42,34,60,26,10,11,12,4,0,0%
George Klassen (LAA - SP) MiLB,,,41.9,40,2,0,4.62,1.42,22,40,19,6,18,5,3,0,0%
Paul Gervase (LAD - RP) MiLB,,,26.0,28,2,0,4.57,1.38,13,23,13,4,25,0,1,0,0%
"Blade Tidwell (SF - SP,RP) MiLB",,,31.9,28,2,0,4.47,1.39,16,31,13,4,16,3,2,0,0%
"John Klein (MIN - SP,RP) MiLB",,,34.2,29,2,0,4.63,1.36,18,34,12,5,25,1,2,0,0%
Carson Seymour,SF,"SP,RP",29.1,25,2,0,4.32,1.4,14,30,11,4,16,2,2,0,0%
Justin Hagenman (NYM - RP) IL60,,,22.3,20,1,0,4.13,1.22,10,22,6,3,19,0,1,0,0%
Kaleb Ort (LAA - RP) NRI,,,40.9,42,2,0,4.76,1.41,22,37,21,7,40,0,2,0,0%
Dylan Ross (NYM - RP) MiLB,,,25.9,28,1,0,4.0,1.36,11,22,13,3,26,0,1,0,0%
Ken Waldichuk,WSH,SP,36.6,35,2,0,4.6,1.41,19,34,17,5,32,0,2,0,0%
"Jason Alexander (HOU - SP,RP) MiLB",,,45.1,35,2,0,4.62,1.39,23,47,16,6,20,5,2,0,0%
Tomoyuki Sugano,COL,SP,118.4,76,6,0,5.22,1.43,69,139,30,21,22,22,9,1,0%
Carlos Rodriguez (MIL - RP) MiLB,,,31.5,29,1,0,4.37,1.31,15,29,13,5,24,2,2,0,0%
Chase Shugart (PHI - RP) MiLB,,,35.0,29,2,0,4.58,1.38,18,34,14,5,32,0,2,0,0%
Ryan Bergert (KC - SP) MiLB,,,53.5,44,2,0,4.73,1.4,28,53,22,8,20,8,3,0,0%
Zach Agnos,COL,RP,57.8,46,3,3,5.02,1.46,32,60,24,9,57,0,4,0,0%
Bailey Horn,DET,RP,30.4,28,2,0,4.37,1.43,15,29,15,4,30,0,2,0,0%
Luke Little (CHC - RP) MiLB,,,21.0,24,1,0,3.67,1.38,9,16,13,2,22,0,1,0,0%
Christian Roa (HOU - RP) NRI,,,33.1,31,2,0,4.43,1.44,16,30,17,4,32,0,2,0,0%
Eli Morgan (KC - RP) NRI,,,32.0,27,2,0,4.68,1.36,17,31,12,5,30,0,2,0,0%
Eduarniel Nunez (ATH - RP) MiLB,,,36.4,37,2,0,4.43,1.48,18,33,21,4,35,0,2,0,0%
Keegan Thompson,COL,RP,47.3,46,2,0,4.76,1.43,25,47,21,7,42,0,3,0,0%
Chris Roycroft,STL,RP,45.6,37,2,0,4.4,1.46,22,45,21,4,43,0,3,0,0%
Cade Povich (BAL - SP) MiLB,,,25.6,25,1,0,4.22,1.31,12,25,9,4,12,3,1,0,0%
"Jesse Scholtens (TB - SP,RP) MiLB",,,32.4,29,1,0,4.41,1.32,16,32,11,5,27,0,2,0,0%
Drew Thorpe,CWS,SP,42.0,32,2,0,4.73,1.37,22,42,15,7,9,8,3,0,0%
James McArthur,KC,RP,25.0,23,1,0,4.18,1.3,12,25,8,3,24,0,1,0,0%
Josh Winckowski (TOR - RP) MiLB,,,18.1,16,1,0,3.73,1.27,8,18,6,2,12,1,1,0,0%
Cameron Foster (BAL - RP) MiLB,,,25.9,23,2,0,4.52,1.39,13,26,10,4,25,0,2,0,0%
Felix Bautista (BAL - RP) IL60,,,10.7,14,1,0,3.24,1.18,4,8,5,1,11,0,1,0,2%
Zach McCambley,MIA,"SP,RP",32.1,32,1,0,4.41,1.36,16,30,13,4,27,0,1,0,0%
"Colton Gordon (HOU - SP,RP) MiLB",,,30.3,25,1,0,4.41,1.3,15,31,9,5,22,1,1,0,0%
Zach Pop,PHI,RP,31.0,25,2,0,4.53,1.4,16,32,12,4,32,0,2,0,0%
Tyler Samaniego (BOS - RP) MiLB,,,25.9,22,2,0,4.39,1.42,13,26,11,3,25,0,2,0,0%
Michael Grove (RP) FA,,,17.4,19,1,0,4.15,1.24,8,16,6,3,12,1,1,0,0%
Gunnar Hoglund (ATH - SP) IL15,,,45.5,35,2,0,4.9,1.36,25,47,14,8,22,5,3,0,0%
Hunter Stratton (ATL - RP) MiLB,,,23.5,22,1,0,4.19,1.31,11,22,8,3,23,0,1,0,0%
David Davalillo (TEX - SP) MiLB,,,16.3,15,1,0,3.86,1.23,7,14,7,2,4,4,1,1,0%
Trent Thornton (CHC - RP) NRI,,,24.6,21,1,0,4.27,1.29,12,24,8,3,23,0,1,0,0%
Manuel Rodriguez (TB - RP) IL60,,,15.3,14,1,0,3.7,1.24,6,14,5,1,15,0,1,0,0%
Philip Abner (ARI - RP) MiLB,,,27.9,26,1,0,4.23,1.36,13,27,11,3,29,0,1,0,0%
JR Ritchie (ATL - SP) MiLB,,,26.2,22,2,0,4.59,1.39,13,26,11,3,5,5,1,0,1%
Drey Jameson (ARI - RP) MiLB,,,29.0,26,1,0,4.21,1.37,14,28,12,4,25,0,1,0,0%
Zach Maxwell (CIN - RP) MiLB,,,36.6,38,2,0,4.63,1.48,19,33,21,5,35,0,2,0,0%
James Karinchak (ATL - RP) MiLB,,,25.5,30,1,0,4.33,1.39,12,21,14,4,25,0,1,0,0%
Mike Clevinger (PIT - RP) MiLB,,,38.0,30,2,0,4.72,1.4,20,39,14,6,34,1,2,0,0%
John Rooney (TB - RP) NRI,,,17.5,21,1,0,3.85,1.37,8,14,11,2,13,0,1,0,0%
"Ryan Burr (SP,RP) FA",,,11.0,16,1,0,3.68,1.23,5,9,5,1,12,0,1,0,0%
Ronel Blanco,HOU,SP,20.7,21,1,0,4.26,1.3,10,18,8,3,10,2,1,0,1%
Jose Quintana,COL,SP,140.2,97,7,0,5.09,1.5,79,156,55,20,25,25,10,0,1%
"Jonathan Pintaro (NYM - SP,RP) MiLB",,,22.9,22,1,0,4.03,1.37,10,21,10,2,19,2,1,0,0%
Tanner McDougal (CWS - SP) MiLB,,,39.8,35,2,0,4.64,1.45,21,39,19,5,16,6,2,0,0%
Caleb Boushley (RP) FA,,,25.9,19,2,0,4.52,1.39,13,28,9,4,15,1,1,0,0%
Griff McGarry (PHI - SP) MiLB,,,28.3,32,1,0,4.24,1.44,13,23,18,3,22,0,1,0,0%
Craig Kimbrel (NYM - RP) NRI,,,18.8,21,1,0,4.15,1.33,9,15,10,3,20,0,1,0,0%
Josh Walker (BAL - RP) NRI,,,30.1,33,2,0,4.79,1.46,16,28,16,5,26,0,2,0,0%
Dylan Smith (DET - RP) MiLB,,,22.5,20,1,0,4.14,1.34,10,21,10,3,20,0,1,0,0%
Josh Simpson (SEA - RP) MiLB,,,23.2,24,1,0,4.16,1.39,11,20,12,3,24,0,1,0,0%
Andrew Morris (MIN - SP) MiLB,,,20.9,17,1,0,4.21,1.29,10,21,6,3,18,0,1,0,0%
Thomas White (MIA - SP) MiLB,,,26.3,27,1,0,4.23,1.41,12,24,14,3,5,5,2,0,3%
Danny Young,ATL,RP,16.4,17,1,0,3.89,1.34,7,14,7,2,17,0,1,0,0%
Quinn Mathews (STL - SP) MiLB,,,40.2,37,2,0,4.5,1.51,20,37,23,4,8,8,3,0,1%
Bowden Francis (TOR - SP) IL60,,,22.0,20,1,0,4.51,1.28,11,21,8,5,5,5,1,0,0%
Drew Sommers (DET - RP) MiLB,,,19.8,17,1,0,3.92,1.36,9,19,8,2,20,0,1,0,0%
John Brebbia (RP) FA,,,33.8,33,2,0,5.0,1.41,19,35,12,6,34,0,2,0,0%
Franco Aleman (CLE - RP) MiLB,,,19.3,22,1,0,4.16,1.38,9,17,10,2,19,0,1,0,0%
Alex Carrillo (NYM - RP) MiLB,,,20.9,23,1,0,4.34,1.36,10,18,11,3,19,0,1,0,0%
Nick Burdi (NYM - RP) MiLB,,,12.1,14,1,0,3.55,1.33,5,9,7,1,12,0,1,0,0%
"Lazaro Estrada (TOR - SP,RP) MiLB",,,23.9,21,1,0,4.58,1.29,12,23,8,4,21,0,1,0,0%
Brandon Young (BAL - SP) MiLB,,,24.3,21,1,0,4.41,1.33,12,25,8,4,18,2,1,0,0%
"Wikelman Gonzalez (CWS - SP,RP) MiLB",,,43.6,43,2,0,4.7,1.5,23,39,26,5,39,0,2,0,0%
Ty Adcock (SD - RP) MiLB,,,24.8,23,1,0,4.47,1.34,12,24,10,4,24,0,1,0,0%
Gus Varland,WSH,RP,27.3,26,1,0,4.42,1.38,13,27,11,3,27,0,1,0,0%
Carlos Hernandez (CLE - RP) NRI,,,22.6,23,1,0,4.39,1.36,11,21,10,3,22,0,1,0,0%
Cristian Mena,ARI,"SP,RP",19.5,18,1,0,4.17,1.34,9,19,8,2,12,2,1,0,0%
RJ Petit,COL,RP,21.0,20,1,0,4.08,1.39,10,20,9,2,21,0,2,0,0%
Reiver Sanmartin,SF,RP,24.2,18,1,0,4.1,1.37,11,25,8,2,23,0,1,0,0%
Daysbel Hernandez,ATL,RP,27.6,29,1,0,4.32,1.44,13,24,16,3,27,0,2,0,0%
Sean Guenther (DET - RP) MiLB,,,15.8,12,1,0,3.87,1.3,7,15,5,2,15,0,1,0,0%
Rafael Montero (NYY - RP) NRI,,,29.7,28,1,0,4.45,1.4,15,27,15,4,30,0,1,0,0%
Tyson Neighbors (BAL - RP) MiLB,,,16.8,17,1,0,4.22,1.32,8,14,8,2,17,0,1,0,0%
Joey Lucchesi (RP) FA,,,29.2,22,1,0,4.27,1.39,14,29,11,3,26,0,1,0,0%
Michael Fulmer (SF - RP) NRI,,,13.6,14,1,0,4.04,1.3,6,12,6,2,13,0,1,0,0%
Michael Tonkin (RP) FA,,,25.9,24,1,0,4.74,1.32,14,25,10,4,20,0,1,0,0%
Jhony Brito (SD - RP) IL60,,,18.8,15,1,0,4.22,1.32,9,19,6,2,17,0,1,0,0%
"Mitch Spence (KC - SP,RP) MiLB",,,30.0,24,1,0,4.54,1.36,15,32,9,4,25,1,2,0,0%
Riley Martin (CHC - RP) MiLB,,,17.9,19,1,0,4.04,1.42,8,16,10,2,17,0,1,0,0%
Hector Neris (RP) FA,,,21.5,23,1,0,4.52,1.37,11,19,10,3,22,0,2,0,0%
Austin Peterson (CLE - SP) MiLB,,,29.3,21,1,0,4.66,1.31,15,31,8,5,15,3,2,0,0%
"Easton Lucas (SP,RP) FA",,,22.9,22,1,0,4.32,1.4,11,21,11,3,12,1,2,0,1%
Winston Santos (TEX - SP) MiLB,,,16.6,20,1,0,4.33,1.38,8,15,8,3,4,4,1,0,0%
"Ty Johnson (TB - SP,RP) MiLB",,,11.5,12,1,0,4.09,1.25,5,10,4,1,2,2,1,0,0%
Spencer Miles,TOR,SP,21.3,20,1,0,4.42,1.36,10,20,9,3,21,0,1,0,0%
Ixan Henderson (STL - SP) MiLB,,,15.0,13,1,0,3.89,1.36,7,13,8,1,12,1,1,0,0%
Michel Otanez (TEX - RP) MiLB,,,17.9,22,1,0,4.23,1.44,8,15,11,2,18,0,1,0,0%
Orlando Ribalta,WSH,RP,46.3,43,2,0,4.85,1.48,25,45,24,7,46,0,2,0,0%
Trevor Stephan (CLE - RP) MiLB,,,17.0,16,1,0,4.32,1.33,8,16,7,2,17,0,1,0,0%
Alexis Diaz (TEX - RP) MiLB,,,27.2,27,1,1,4.75,1.4,14,24,15,4,25,0,1,0,0%
Daniel Espino (CLE - SP) MiLB,,,18.8,19,1,0,4.26,1.39,9,17,9,3,15,1,1,0,0%
Brycen Mautz (STL - SP) MiLB,,,15.9,14,1,0,4.2,1.32,7,15,5,2,14,0,1,0,0%
Gavin Hollowell (CHC - RP) MiLB,,,23.0,23,1,0,4.43,1.4,11,21,12,3,22,0,1,0,0%
"Luis Perales (WSH - SP,RP) MiLB",,,19.8,20,1,0,4.24,1.41,9,18,10,2,18,0,1,0,0%
Angel Chivilli (NYY - RP) MiLB,,,27.1,24,1,0,4.59,1.37,14,27,10,4,25,0,1,0,0%
Cole Wilcox (SEA - RP) MiLB,,,21.8,17,1,0,4.35,1.35,11,21,8,3,20,0,1,0,0%
Garrett Acton (MIA - RP) MiLB,,,20.0,20,1,0,4.55,1.35,10,18,9,3,20,0,1,0,0%
"David Sandlin (CWS - SP,RP) MiLB",,,19.7,17,1,0,4.46,1.33,10,19,7,3,20,0,1,0,0%
"Alex Faedo (SP,RP) FA",,,11.8,12,1,0,4.2,1.27,6,11,5,2,8,1,1,0,0%
Shawn Dubin (ARI - RP) NRI,,,21.6,20,1,0,4.32,1.4,10,21,9,2,17,0,1,0,0%
Jorge Lopez (RP) FA,,,26.7,22,1,0,4.62,1.35,14,27,9,4,27,0,1,0,0%
Joe Mantiply (TOR - RP) MiLB,,,13.6,12,1,0,4.2,1.29,6,14,4,2,14,0,1,0,0%
"Miguel Ullola (HOU - SP,RP) MiLB",,,10.8,12,1,0,3.94,1.32,5,8,6,1,9,0,1,0,0%
Wade Miley (SP) FA,,,32.4,20,2,0,4.64,1.44,17,34,12,4,8,6,2,1,0%
Derek Law (ARI - RP) MiLB,,,19.1,16,1,0,4.28,1.36,9,19,7,2,19,0,1,0,0%
"Dane Dunning (SEA - SP,RP) MiLB",,,16.5,14,1,0,4.36,1.31,8,16,6,2,8,2,1,0,0%
Troy Taylor (SEA - RP) MiLB,,,23.4,22,1,0,4.4,1.41,11,22,11,3,24,0,1,0,0%
Kendall Graveman (RP) FA,,,27.5,23,2,0,4.78,1.47,15,27,14,4,29,0,1,0,0%
"Mason Black (KC - SP,RP) MiLB",,,49.0,40,2,0,4.91,1.45,27,50,21,7,31,3,3,0,0%
Luis Mey (CIN - RP) MiLB,,,33.9,32,2,0,4.63,1.54,17,31,21,4,34,0,2,0,0%
Tayler Saucedo (LAA - RP) MiLB,,,24.5,22,1,0,4.33,1.43,12,24,11,3,25,0,1,0,0%
Joey Estes (ATH - SP) MiLB,,,28.6,21,1,0,4.9,1.29,16,29,8,5,23,1,2,0,0%
Enoli Paredes (BAL - RP) NRI,,,9.6,11,1,0,3.75,1.35,4,8,6,1,8,0,1,0,0%
Welinton Herrera (COL - RP) MiLB,,,24.0,24,1,0,4.45,1.43,12,24,11,3,24,0,2,0,0%
"Robert Stock (NYM - SP,RP) MiLB",,,19.0,21,1,0,4.27,1.45,9,17,11,3,13,1,1,0,0%
Sammy Peralta (MIL - RP) MiLB,,,14.8,13,1,0,4.34,1.31,7,14,5,2,12,0,1,0,0%
Chris Devenski (PIT - RP) MiLB,,,19.4,16,1,0,4.56,1.32,10,19,6,3,18,0,1,0,0%
Angel Bastardo,TOR,SP,16.7,16,1,0,4.3,1.38,8,15,8,2,13,1,1,0,0%
Jose Espada (BAL - RP) MiLB,,,15.8,17,1,0,4.48,1.36,8,14,8,2,14,0,1,0,0%
Jayden Murray (HOU - RP) MiLB,,,26.1,22,1,0,4.49,1.4,13,25,11,4,25,0,1,0,0%
Ricky Tiedemann (TOR - SP) MiLB,,,16.6,17,1,0,4.3,1.4,8,15,8,2,10,2,1,0,1%
Cam Booser (TB - RP) NRI,,,18.0,20,1,0,4.41,1.42,9,17,9,3,19,0,1,0,0%
Domingo Gonzalez (SEA - RP) MiLB,,,17.2,16,1,0,4.37,1.37,8,16,8,2,17,0,1,0,0%
Dillon Tate (RP) FA,,,13.0,12,1,0,4.15,1.34,6,12,6,1,13,0,1,0,0%
Trevor Williams (WSH - SP) IL60,,,28.5,23,1,0,4.61,1.38,15,31,9,4,19,2,2,0,0%
"Joey Gerber (NYM - SP,RP) MiLB",,,14.9,15,1,0,4.54,1.32,8,14,6,2,13,0,0,0,0%
Daison Acosta (SD - RP) MiLB,,,12.6,14,1,0,4.17,1.38,6,11,7,2,12,0,0,0,0%
Tink Hence (STL - SP) MiLB,,,13.9,13,1,0,4.18,1.36,6,13,6,2,5,2,1,0,0%
"Joe Rock (TB - SP,RP) MiLB",,,19.0,15,1,0,4.41,1.35,9,19,6,3,11,2,1,0,0%
Joe Ross (ARI - RP) NRI,,,27.5,22,1,0,4.5,1.4,14,28,10,3,25,1,1,0,0%
Scott Alexander (RP) FA,,,25.7,17,1,0,4.37,1.38,12,27,9,3,29,0,2,0,0%
"Packy Naughton (STL - SP,RP) MiLB",,,14.0,13,1,0,4.27,1.35,7,14,5,2,14,0,1,0,0%
"Albert Suarez (BAL - SP,RP) NRI",,,21.5,18,1,0,4.57,1.36,11,22,7,3,18,0,1,0,1%
Pedro Avila (CLE - RP) MiLB,,,22.8,21,1,0,4.5,1.41,11,22,10,2,18,0,1,0,0%
Duncan Davitt (CWS - SP) MiLB,,,21.0,17,1,0,4.58,1.35,11,22,7,3,19,0,1,0,0%
Julian Merryweather (MIN - RP) MiLB,,,13.5,14,1,0,4.24,1.39,6,12,7,2,13,0,1,0,0%
Grant Holman (ARI - RP) MiLB,,,17.9,15,1,0,4.36,1.38,9,17,7,2,18,0,1,0,0%
Ty Madden (DET - RP) MiLB,,,20.9,19,1,0,4.6,1.38,11,20,9,3,13,2,1,0,0%
Mitch Bratt (ARI - SP) MiLB,,,13.6,10,1,0,4.38,1.29,7,14,3,2,4,3,1,0,0%
Shane Murphy (CWS - RP) MiLB,,,18.2,13,1,0,4.58,1.31,9,19,5,3,17,0,1,0,0%
Tanner Houck (BOS - SP) IL60,,,16.1,13,1,0,4.4,1.35,8,16,6,2,7,1,1,0,0%
Lucas Braun (ATL - SP) MiLB,,,7.8,7,1,0,4.05,1.22,4,7,3,1,2,2,0,0,0%
Martin Perez (ATL - SP) NRI,,,28.3,22,1,0,4.62,1.39,15,29,10,4,5,5,2,0,0%
"Robinson Pina (SP,RP) FA",,,10.5,9,1,0,4.27,1.28,5,11,3,2,8,1,1,0,0%
"Spencer Turnbull (SP,RP) FA",,,32.3,27,2,0,4.9,1.48,18,33,15,4,9,5,2,0,0%
Tony Gonsolin (SP) FA,,,16.4,16,1,0,4.65,1.35,8,15,7,3,3,3,1,0,0%
Evan Reifert (TB - RP) MiLB,,,10.2,11,1,0,4.07,1.38,5,9,5,1,10,0,1,0,0%
Lou Trivino (PHI - RP) MiLB,,,22.8,20,1,0,4.58,1.4,12,22,10,3,23,0,1,0,0%
Austin Gomber (TEX - SP) NRI,,,19.4,14,1,0,4.69,1.31,10,20,5,3,6,3,2,0,0%
Jorge Alcala (TOR - RP) MiLB,,,18.9,19,1,0,4.85,1.35,10,18,8,4,18,0,1,0,0%
Genesis Cabrera (PHI - RP) MiLB,,,21.7,20,1,0,4.62,1.4,11,21,10,3,21,0,1,0,0%
Kevin Herget (NYM - RP) MiLB,,,9.2,8,1,0,4.4,1.23,4,9,3,2,5,0,0,0,0%
"Alan Rangel (PHI - SP,RP) MiLB",,,23.0,19,1,0,4.74,1.36,12,23,8,4,14,2,1,0,0%
"Peter Lambert (HOU - SP,RP) NRI",,,14.7,14,1,0,4.49,1.37,7,14,6,2,12,0,1,0,0%
Cade Winquest,NYY,SP,30.7,25,1,0,4.71,1.4,16,31,12,4,28,0,2,0,0%
"Kolby Allard (CLE - SP,RP) NRI",,,22.9,17,1,0,4.6,1.37,12,24,7,3,19,0,1,0,0%
"Osvaldo Bido (ATL - SP,RP) MiLB",,,20.9,19,1,0,4.66,1.39,11,20,9,3,15,0,1,0,0%
Alex Hoppe (SEA - RP) MiLB,,,17.9,17,1,0,4.32,1.45,9,17,9,2,18,0,1,0,0%
Matt Bowman (RP) FA,,,19.2,16,1,0,4.61,1.37,10,20,7,3,18,0,1,0,0%
"Ronan Kopp (LAD - SP,RP) MiLB",,,15.6,17,1,0,4.3,1.47,7,13,10,2,15,0,1,0,0%
Juan Burgos (ARI - RP) MiLB,,,23.7,20,1,0,4.49,1.43,12,23,10,3,24,0,1,0,0%
"Brian Van Belle (TB - SP,RP) MiLB",,,11.6,9,1,0,4.26,1.33,6,13,3,2,5,1,1,0,0%
Ethan Pecko (HOU - SP) MiLB,,,10.9,10,1,0,4.13,1.38,5,10,6,2,3,3,1,0,0%
Joel Kuhnel (ATH - RP) NRI,,,11.0,8,1,0,4.1,1.34,5,12,3,1,11,0,1,0,0%
Dugan Darnell (DET - RP) NRI,,,11.7,12,1,0,4.24,1.41,6,10,7,1,8,0,1,0,0%
Ryan Loutos (SEA - RP) MiLB,,,19.7,17,1,0,4.48,1.42,10,19,9,3,20,0,1,0,0%
Bobby Miller,LAD,SP,21.0,19,1,0,4.64,1.41,11,20,10,3,17,0,1,0,0%
Dax Fulton (MIA - SP) MiLB,,,22.4,19,1,0,4.42,1.45,11,22,11,2,18,1,1,0,0%
Julian Aguiar (CIN - SP) MiLB,,,31.6,23,1,0,4.86,1.36,17,33,10,5,24,2,2,0,0%
Ryan Rolison (CHC - RP) MiLB,,,30.5,23,1,0,4.6,1.42,16,31,12,4,28,0,2,0,0%
Konnor Pilkington (DET - RP) MiLB,,,18.2,19,1,0,4.5,1.46,9,16,11,2,19,0,1,0,0%
Jake Bennett (BOS - SP) MiLB,,,19.6,15,1,0,4.58,1.38,10,20,7,2,18,0,1,0,0%
Chase Dollander,COL,SP,118.7,103,5,0,5.29,1.5,70,124,54,19,30,22,9,0,1%
Alek Jacob (SD - RP) MiLB,,,32.4,29,1,0,4.82,1.42,17,32,14,5,30,0,2,0,0%
"Nolan Hoffman (PHI - SP,RP) MiLB",,,15.3,15,1,0,4.42,1.44,8,15,8,2,15,0,1,0,0%
Carlos Lagrange (NYY - SP) MiLB,,,10.7,11,1,0,4.21,1.43,5,9,6,1,9,1,1,0,5%
Logan Gillaspie (SD - RP) MiLB,,,20.3,15,1,0,4.65,1.37,10,21,7,3,19,0,1,0,0%
Prelander Berroa,CWS,RP,29.2,30,1,0,4.59,1.5,15,26,17,4,28,0,2,0,0%
Josh Ekness (MIA - RP) MiLB,,,16.7,15,1,0,4.5,1.42,8,16,8,2,16,0,1,0,0%
Enmanuel De Jesus,DET,"SP,RP",32.7,27,1,0,4.66,1.44,17,33,14,4,31,0,1,0,0%
Kohl Drake (ARI - SP) MiLB,,,15.6,13,1,0,4.51,1.39,8,16,6,2,4,3,1,0,0%
Jack Little (DET - RP) MiLB,,,13.1,11,1,0,4.47,1.37,7,13,6,2,8,0,1,0,0%
"Jhancarlos Lara (ATL - SP,RP) MiLB",,,12.2,14,1,0,4.33,1.47,6,11,7,1,12,0,1,0,0%
Bryan Sammons (DET - RP) MiLB,,,18.6,17,1,0,4.6,1.42,10,18,9,4,4,1,1,0,0%
Jack Neely (CHC - RP) MiLB,,,17.0,18,1,0,4.59,1.45,9,15,9,2,17,0,1,0,0%
Seth Martinez (BOS - RP) MiLB,,,14.6,12,1,0,4.56,1.37,7,14,6,2,14,0,1,0,0%
"Carson Fulmer (PIT - SP,RP) MiLB",,,17.8,15,1,0,4.31,1.46,9,18,8,2,10,1,1,0,0%
"Adam Macko (TOR - SP,RP) MiLB",,,14.1,13,1,0,4.53,1.4,7,13,6,2,12,1,1,0,0%
Tom Cosgrove (HOU - RP) MiLB,,,13.2,12,1,0,4.46,1.4,7,12,7,2,13,0,1,0,0%
T.J. McFarland (RP) FA,,,22.4,14,1,0,4.45,1.4,11,24,7,2,30,0,1,0,0%
Jackson Kowar,BAL,RP,28.1,26,1,0,4.75,1.44,15,27,13,4,27,0,2,0,0%
"Thomas Harrington (PIT - SP,RP) MiLB",,,22.4,17,1,0,4.72,1.38,12,23,7,3,10,3,2,0,0%
"Shinnosuke Ogasawara (WSH - SP,RP) MiLB",,,12.6,9,1,0,4.43,1.35,6,13,4,2,10,0,1,0,0%
A.J. Causey (ATH - RP) MiLB,,,12.1,10,1,0,4.4,1.38,6,12,5,2,12,0,1,0,0%
Taylor Rashi (ARI - RP) NRI,,,19.7,19,1,0,4.51,1.47,10,18,11,2,12,0,1,0,0%
Riley Gowens (CWS - SP) MiLB,,,11.8,11,1,0,4.72,1.34,6,12,4,2,12,0,1,0,0%
"Hagen Danner (CIN - C,RP) MiLB",,,18.0,16,1,0,4.75,1.39,10,19,6,3,18,0,1,0,0%
Colin Poche (RP) FA,,,17.7,16,1,0,4.67,1.41,9,16,9,3,19,0,1,0,0%
Eric Cerantola (KC - RP) MiLB,,,14.6,15,1,0,4.47,1.46,7,13,8,2,14,0,1,0,0%
Joe La Sorsa (PIT - RP) MiLB,,,16.9,12,1,0,4.4,1.41,8,17,7,2,16,0,1,0,0%
Tate Kuehner (MIL - SP) NRI,,,11.4,10,1,0,4.35,1.41,5,10,6,1,11,0,1,0,0%
"Roansy Contreras (SP,RP) FA",,,33.4,24,2,0,4.98,1.47,19,35,14,6,22,1,2,0,0%
Henry Baez (ATH - SP) MiLB,,,13.1,10,1,0,4.32,1.41,6,13,5,1,11,0,0,0,0%
Connor Seabold,DET,RP,22.5,18,1,0,4.83,1.38,12,23,8,4,21,0,1,0,0%
Collin Snider (CHC - RP) MiLB,,,11.9,10,1,0,4.54,1.37,6,12,4,2,12,0,1,0,0%
Scott Effross (DET - RP) MiLB,,,15.5,11,1,0,4.43,1.4,8,17,5,1,16,0,1,0,0%
Hagen Smith (CWS - SP) MiLB,,,18.4,19,1,0,4.58,1.48,9,16,12,2,4,4,1,0,1%
Kyle Wright (CHC - SP) MiLB,,,14.7,13,1,0,4.64,1.4,8,14,6,2,6,1,1,0,0%
Max Kranick (RP) FA,,,6.3,5,1,0,4.29,1.27,3,6,2,1,4,0,0,0,0%
Rolddy Munoz (ATL - RP) MiLB,,,17.5,16,1,0,4.46,1.47,9,17,9,2,17,0,1,0,0%
"Dom Hamel (NYY - SP,RP) MiLB",,,23.3,21,1,0,4.73,1.44,12,23,11,4,21,0,1,0,0%
Miguel Castro (LAA - RP) NRI,,,12.7,11,1,0,4.65,1.38,7,12,6,2,13,0,1,0,0%
Ben Hess (NYY - SP) MiLB,,,9.3,8,1,0,4.34,1.39,5,9,5,2,2,2,1,0,0%
"Jose Franco (CIN - SP,RP) MiLB",,,14.6,14,1,0,4.77,1.4,8,14,6,2,14,0,1,0,0%
Zack Thompson (STL - RP) MiLB,,,13.6,13,1,0,4.5,1.45,7,13,7,2,10,1,1,0,0%
Mason Barnett (ATH - SP) MiLB,,,29.2,25,1,0,4.81,1.43,16,29,12,4,18,3,1,0,0%
Chris Flexen (RP) FA,,,24.9,19,1,0,4.69,1.42,13,27,9,4,12,1,2,0,0%
Jake Bloss (TOR - SP) MiLB,,,16.0,13,1,0,4.62,1.41,8,16,7,2,14,0,1,0,0%
Tyler Uberstine (BOS - SP) MiLB,,,11.8,10,1,0,4.63,1.38,6,12,4,2,4,2,1,0,0%
Nate Lavender (NYM - RP) MiLB,,,14.2,15,1,0,4.74,1.44,8,13,8,2,14,0,1,0,0%
John Curtiss (ARI - RP) MiLB,,,22.1,17,1,0,4.89,1.38,12,23,8,4,18,0,2,0,0%
Austin Love (STL - SP) MiLB,,,21.7,18,1,0,4.68,1.44,11,21,10,3,21,0,1,0,0%
Jayvien Sandridge (LAA - RP) MiLB,,,19.2,22,1,0,4.62,1.53,10,17,12,3,20,0,1,0,0%
Wilber Dotel (PIT - SP) MiLB,,,13.4,11,1,0,4.65,1.4,7,13,5,2,12,0,1,0,0%
Noah Schultz (CWS - SP) MiLB,,,21.7,19,1,0,4.65,1.46,11,22,10,3,4,4,2,0,2%
Cam Sanders (PIT - RP) MiLB,,,31.3,31,1,0,4.67,1.51,16,29,19,4,30,0,2,0,0%
Landon Knack,LAD,SP,22.6,20,1,0,4.98,1.4,13,22,9,4,13,3,1,0,0%
William Kempner (MIA - RP) MiLB,,,21.5,21,1,0,4.71,1.48,11,20,12,3,21,0,2,0,0%
Randy Dobnak (SEA - RP) MiLB,,,12.1,9,1,0,4.48,1.42,6,12,5,1,9,0,1,0,0%
Ryan Feltner,COL,SP,107.4,87,4,0,5.16,1.5,62,116,45,16,26,19,7,0,0%
