Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost%
Parker Messick,CLE,SP,125.0,116,7,0,4.1,1.3,57,120,43,16,23,24,8,0,13%
Jacob Lopez,ATH,SP,122.4,129,7,0,4.29,1.29,58,109,49,18,23,23,8,0,6%
Michael McGreevy,STL,SP,137.5,95,8,0,4.16,1.29,64,143,34,16,28,24,8,0,2%
Jeremiah Estrada,SD,RP,67.7,91,4,1,3.35,1.15,25,51,27,8,68,0,3,0,23%
Garrett Cleavinger,TB,RP,63.0,78,4,7,3.41,1.15,24,49,24,7,66,0,3,0,12%
Dennis Santana,PIT,RP,66.3,61,4,24,3.93,1.26,29,61,23,7,66,0,3,0,53%
Jeffrey Springs,ATH,SP,162.6,138,9,0,4.61,1.32,83,162,52,27,29,29,10,0,5%
Zebby Matthews (MIN - SP) MiLB,,,104.4,103,6,0,4.1,1.24,48,102,27,15,27,18,6,0,2%
Grant Holmes,ATL,SP,129.6,129,7,0,4.24,1.33,61,123,49,17,33,21,7,0,12%
Will Warren,NYY,SP,124.6,122,7,0,4.26,1.31,59,118,45,17,35,21,7,0,16%
Spencer Schwellenbach (ATL - SP) IL60,,,72.1,69,5,0,3.52,1.12,28,65,15,8,12,12,3,0,39%
Garrett Whitlock,BOS,RP,68.0,75,4,3,3.33,1.15,25,58,19,7,63,0,3,0,25%
Justin Verlander,DET,SP,141.5,118,8,0,4.42,1.31,69,139,46,20,26,26,8,0,8%
Adrian Morejon,SD,RP,66.8,67,5,3,3.32,1.18,25,57,21,6,67,0,4,0,17%
Max Meyer,MIA,SP,126.5,117,7,0,4.29,1.31,60,124,42,17,28,23,8,0,7%
Robert Suarez,ATL,RP,65.8,68,4,9,3.59,1.17,26,57,20,7,66,0,3,0,62%
Luis Severino,ATH,SP,168.9,135,9,0,4.57,1.34,86,172,54,24,29,29,11,0,7%
Landen Roupp,SF,SP,122.0,114,7,0,4.07,1.35,55,116,48,13,28,23,7,0,1%
Steven Matz,TB,RP,123.0,104,6,0,4.16,1.28,57,123,34,17,34,20,7,0,1%
Kenley Jansen,DET,RP,57.8,59,3,24,3.99,1.21,26,49,21,8,59,0,3,0,79%
Logan Henderson (MIL - SP) MiLB,,,92.5,95,6,0,4.14,1.22,43,83,29,14,26,16,5,0,13%
Roki Sasaki,LAD,SP,112.1,109,7,0,4.19,1.31,52,103,44,14,32,19,6,1,41%
Jose A. Ferrer,SEA,RP,67.8,64,4,3,3.25,1.17,24,60,20,5,67,0,3,0,3%
Zack Littell,WSH,SP,145.3,108,7,0,4.54,1.26,73,151,31,24,26,25,9,0,4%
Carlos Estevez,KC,RP,62.9,57,3,29,4.24,1.27,30,58,22,8,63,0,3,0,85%
Will Vest,DET,RP,66.7,67,4,6,3.4,1.2,25,59,21,6,66,0,3,0,18%
Jared Jones (PIT - SP) IL60,,,93.6,95,5,0,3.96,1.24,41,85,31,12,21,17,5,0,14%
Max Scherzer,TOR,SP,102.9,99,6,0,4.41,1.22,50,97,29,18,29,17,6,0,5%
Seranthony Dominguez,CWS,RP,61.2,69,3,20,3.89,1.29,26,51,28,8,64,0,4,0,35%
Michael Soroka,ARI,"SP,RP",93.1,93,5,3,4.12,1.26,43,84,34,12,41,11,5,0,1%
Matt Strahm,KC,RP,63.7,69,4,2,3.58,1.13,25,53,19,8,64,0,3,0,8%
Alex Vesia,LAD,RP,62.1,78,4,2,3.58,1.16,25,47,25,9,64,0,3,0,16%
Cade Cavalli,WSH,SP,133.9,114,7,0,4.29,1.35,64,133,47,16,25,25,8,0,9%
Edwin Uceta,TB,RP,59.8,72,3,11,3.73,1.19,25,49,22,8,58,0,3,0,11%
Dean Kremer (BAL - SP) MiLB,,,117.7,100,7,0,4.41,1.29,58,116,36,18,31,19,7,0,2%
Eduardo Rodriguez,ARI,SP,134.0,119,8,0,4.42,1.37,66,135,48,18,28,24,8,0,2%
Matt Brash,SEA,RP,61.7,74,3,3,3.22,1.21,22,50,24,5,62,0,3,0,9%
Tanner Scott,LAD,RP,63.3,72,4,4,3.55,1.22,25,52,25,7,63,0,3,0,10%
Gabe Speier,SEA,RP,58.5,69,3,0,3.29,1.1,21,47,17,6,63,0,3,0,6%
Cristian Javier,HOU,SP,140.0,128,8,0,4.68,1.34,73,129,58,22,26,26,9,0,5%
Simeon Woods Richardson,MIN,SP,137.0,122,7,0,4.51,1.34,69,132,51,19,30,26,8,0,1%
Adrian Houser,SF,SP,144.0,104,8,0,4.35,1.37,70,150,48,16,26,26,9,0,2%
Carmen Mlodzinski,PIT,"SP,RP",93.8,83,5,0,3.85,1.3,40,90,32,9,48,8,5,0,1%
JoJo Romero,STL,RP,61.6,58,4,12,3.66,1.29,25,56,24,6,63,0,3,0,12%
Phil Maton,CHC,RP,62.6,69,4,4,3.68,1.21,26,52,24,7,64,0,3,0,6%
Fernando Cruz,NYY,RP,59.1,80,4,2,3.61,1.23,24,45,27,7,59,0,3,0,5%
Tyler Holton,DET,"SP,RP",70.1,58,4,1,3.68,1.16,29,64,18,9,66,0,3,0,5%
Dylan Lee,ATL,RP,64.6,72,3,1,3.64,1.15,26,56,18,9,65,0,3,0,3%
Riley O'Brien,STL,RP,62.2,64,3,14,3.73,1.31,26,54,27,6,60,0,3,0,14%
Jose Alvarado,PHI,RP,58.6,67,4,3,3.46,1.24,23,49,23,6,59,0,3,0,2%
Luke Weaver,NYM,RP,65.6,70,4,5,3.97,1.21,29,58,22,9,61,0,3,0,13%
Bryan King,HOU,RP,64.6,64,4,1,3.63,1.19,26,58,19,8,66,0,3,0,4%
Camilo Doval,NYY,RP,63.5,72,4,4,3.58,1.28,25,51,30,5,64,0,3,0,8%
Chris Martin,TEX,RP,52.6,52,3,7,3.47,1.14,20,49,11,6,53,0,3,0,2%
Louis Varland,TOR,RP,66.8,66,4,2,3.73,1.21,28,61,20,8,61,0,3,0,4%
Jose Berrios,TOR,SP,109.0,91,6,0,4.4,1.29,53,107,34,17,38,15,6,0,4%
Clayton Beeter,WSH,RP,62.5,72,3,15,3.9,1.34,27,50,33,7,57,0,3,0,8%
Andrew Kittredge,BAL,RP,59.7,60,4,4,3.73,1.19,25,55,16,8,60,0,3,0,2%
Jason Adam,SD,RP,56.0,60,4,1,3.49,1.17,22,45,20,6,56,0,3,0,15%
