key_fangraphs,key_mlbam
25807,669707.0
21865,666310.0
29995,695734.0
26466,670242.0
15274,643565.0
33189,694384.0
27790,694497.0
22896,672820.0
20572,665019.0
12979,595879.0
25931,671739.0
29695,680574.0
18577,663647.0
25493,687401.0
23565,676914.0
10815,595777.0
24878,681715.0
19901,657757.0
16535,643376.0
20178,678246.0
21524,663698.0
17929,656775.0
16556,645277.0
20043,673357.0
31580,805367.0
29858,672016.0
25180,682177.0
20220,666176.0
29794,700932.0
19363,669720.0
10324,542303.0
31781,702616.0
26288,668939.0
19470,669242.0
12976,595978.0
18872,663330.0
15878,609280.0
17276,656577.0
26517,682622.0
17988,663886.0
22515,671218.0
19326,668804.0
13419,572233.0
18795,602104.0
21614,664728.0
22563,672356.0
15271,642851.0
13770,608701.0
27462,668885.0
26323,668715.0
23789,677942.0
19913,660821.0
29844,689414.0
5517,543309.0
31363,688363.0
35108,701358.0
20437,668904.0
27647,683011.0
21538,663743.0
21840,666023.0
19950,665926.0
29931,696285.0
16472,656555.0
19296,669743.0
31431,687597.0
18568,650333.0
17982,664034.0
9777,571448.0
27490,693304.0
21693,665804.0
22239,669236.0
15194,641343.0
9218,502671.0
14968,605170.0
21009,660844.0
19238,666971.0
35322,808975.0
25979,683083.0
24064,678662.0
15674,624512.0
21454,663457.0
13675,621438.0
29478,695600.0
29630,694388.0
21842,666126.0
20002,669369.0
19892,656976.0
17232,660162.0
31695,687637.0
19455,655316.0
12859,543510.0
9241,516782.0
27577,669477.0
20391,671277.0
15223,624428.0
28253,691594.0
19346,642201.0
31912,802415.0
19287,666969.0
23698,677595.0
16512,643396.0
16947,656537.0
22277,669397.0
19956,666160.0
26365,676356.0
25643,686452.0
21746,665877.0
24605,680737.0
13066,606192.0
28080,691176.0
26197,683734.0
12144,596146.0
17338,650489.0
29591,681297.0
19318,642136.0
24488,680474.0
29524,669326.0
31583,805904.0
19556,670541.0
7304,521692.0
29592,681393.0
27653,683766.0
23792,677950.0
27883,695336.0
20084,641555.0
31505,701398.0
15653,642086.0
15518,642708.0
27690,686894.0
22184,668901.0
29788,695391.0
29668,691785.0
18819,628451.0
25479,686668.0
19921,663368.0
26420,677347.0
23690,677587.0
11680,553869.0
33197,810938.0
27555,669003.0
