Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tyler LaPorte,ATL,0,0,0,5.00112,1,0,0,0,,1.34737,6,1,1,1,0,1,0.0,0,1,6.28993,4.07902,1.54202,1.10593,0.166431,0.107931,0.05850040912628174,0.264408,1.43051,0.297249,0.654433,,,4.84405,-0.00858596,-0.0280894,999.0,,,,,,,6.370526742935182,4.728125114465361,5.736842393875122,4.257812531795933,,,,,,,,,,,,,,,,,,,Braves,sa3067023,679489
Garrett Schoenle,CHW,0,0,0,4.96034,1,0,0,0,,1.99173,9,2,1,1,0,1,0.0,0,2,6.87907,3.86874,1.77812,1.36625,0.178183,0.100209,0.07797443121671677,0.255142,1.40194,0.283458,0.672572,,,5.019,-0.00859919,0.00298133,999.0,,,,,,,10.538804459571839,5.2912807965359985,10.958651661872864,5.502076000824762,,,,,,,,,,,,,,,,,,,White Sox,sa3016937,676881
Rayven Antonio,ATL,0,0,0,5.63335,1,1,0,0,,4.08479,18,4,3,3,1,2,0.0,0,2,4.65664,4.0463,1.15084,1.25547,0.119564,0.103893,0.015671059489250183,0.281203,1.52576,0.29547,0.632945,,,5.41493,-0.00860374,-0.0372905,999.0,,,,,,,5.5274441719055165,1.3531771538302149,5.423948764801025,1.3278403768199687,,,,,,,,,,,,,,,,,,,Braves,sa3021808,810982
Mat Olsen,,0,0,0,4.85933,1,0,0,0,,1.323,6,1,1,1,0,1,0.0,0,1,6.49446,3.64129,1.78356,1.22564,0.167746,0.0940511,0.07369489967823029,0.261491,1.41083,0.290961,0.672948,,,4.82335,-0.00860759,-0.0321785,999.0,,,,,,,6.1902349472045906,4.678921277818105,5.615023612976074,4.244144799393918,,,,,,,,,,,,,,,,,,,,sa3017882,695296
Jarod Bayless,PIT,0,0,0,4.9441,1,0,0,0,,1.81373,8,2,1,1,0,1,0.0,0,1,6.30413,2.92971,2.15179,1.41842,0.163177,0.075833,0.08734387904405594,0.264805,1.36374,0.287536,0.668131,,,4.89887,-0.00861698,-0.00234683,999.0,,,,,,,7.221636414527894,3.9816388864223433,8.068673253059387,4.448651433293926,,,,,,,,,,,,,,,,,,,Pirates,sa3010236,663681
Nick Trabacchi,MIN,0,0,0,5.00781,1,0,0,0,,1.405,6,1,1,1,0,1,0.0,0,1,6.79215,4.11988,1.64863,1.28137,0.171021,0.103735,0.06728575378656387,0.261099,1.4769,0.291651,0.680325,,,5.00525,-0.00862085,-0.0270474,999.0,,,,,,,6.796999788284303,4.837722367752776,6.0249998569488525,4.28825621326466,,,,,,,,,,,,,,,,,,,Twins,sa3068327,806713
Ben Peterson,SFG,0,0,0,4.82164,1,0,0,0,,1.255,6,1,1,1,0,1,0.0,0,1,6.57191,3.94424,1.66621,1.17134,0.159377,0.0956525,0.06372421234846115,0.264889,1.52188,0.295148,0.69923,,,4.839,-0.00863918,-0.0356394,999.0,,,,,,,5.686999964714051,4.531474092686696,5.274999976158142,4.203187247968526,,,,,,,,,,,,,,,,,,,Giants,sa3067064,803292
Brandon Decker,NYY,0,0,0,5.54145,1,1,0,0,,3.368,15,3,2,2,1,2,0.0,0,2,5.86507,4.70747,1.24591,1.50126,0.144778,0.116203,0.02857533097267151,0.262503,1.55297,0.277977,0.667311,,,5.73342,-0.00864202,0.00499211,999.0,,,,,,,2.823200225830079,0.8382423397413755,1.8400001525878906,0.546318330141205,,,,,,,,,,,,,,,,,,,Yankees,sa3030001,804698
Jonney Rosario,,0,0,0,5.2196,1,1,0,0,,2.27947,11,3,1,1,0,1,0.0,0,2,7.23133,4.85066,1.49079,1.63555,0.16123,0.10815,0.05307922512292862,0.257133,1.66657,0.278192,0.731602,,,5.68511,-0.00865475,0.0396651,999.0,,,,,,,10.068114805221558,4.416856917263609,12.397374868392944,5.438697512167116,,,,,,,,,,,,,,,,,,,,sa3016616,700326
Tucker Davidson,PHI,0,0,0,4.78664,8,0,0,1,,8.0,35,8,5,4,1,3,,0,6,6.87596,3.11854,2.20486,1.37226,0.174627,0.079201,0.09542644768953323,0.261221,1.38635,0.28959,0.686729,,,4.77219,-0.00865581,-0.0276681,999.0,,,,,,,33.10000000000001,4.137500000000001,34.0,4.25,,,,,,,,,,,,,,,,,,,Phillies,19871,656353
Adrian Belen,KCR,0,0,0,6.01887,1,1,0,0,,2.22857,10,2,2,1,0,1,0.0,0,1,5.39617,4.59169,1.1752,1.45971,0.139602,0.11879,0.020812377333641052,0.278326,1.54895,0.295101,0.619202,,,5.73259,-0.00865635,-0.054368,999.0,,,,,,,10.291428470611574,4.617948700941214,10.142857074737549,4.551282048538905,,,,,,,,,,,,,,,,,,,Royals,sa3024795,825432
Mason Vinyard,NYY,0,0,0,4.8918,1,0,0,0,,1.3167,6,1,1,1,0,1,0.0,0,1,7.50816,4.85489,1.54652,1.30907,0.195369,0.126328,0.06904031336307526,0.24071,1.42461,0.274209,0.680565,,,5.13567,-0.00867236,-0.0333801,999.0,,,,,,,6.143607211112977,4.665899638317111,5.583518385887146,4.240527677310308,,,,,,,,,,,,,,,,,,,Yankees,sa3020753,804912
Daniel Martinez,,0,0,0,5.46245,1,1,0,0,,3.81247,17,4,3,2,1,2,0.0,0,3,6.0591,3.98145,1.52183,1.54351,0.150596,0.0989569,0.051638901233673096,0.267701,1.50685,0.285148,0.666227,,,5.50057,-0.00867284,-0.0527449,999.0,,,,,,,5.512288284301762,1.4458569575347227,6.062356948852539,1.5901383457247305,,,,,,,,,,,,,,,,,,,,sa3007734,681979
Trey Benton,CLE,0,0,0,4.91183,1,0,0,0,,1.21005,5,1,1,1,0,1,0.0,0,1,6.90754,4.71807,1.46406,1.15818,0.172138,0.117575,0.054562196135520935,0.25632,1.51877,0.290176,0.689286,,,5.00879,-0.00867857,-0.0388002,999.0,,,,,,,5.354405188560486,4.424928017102311,5.050273776054382,4.173591115861753,,,,,,,,,,,,,,,,,,,Guardians,sa3015034,668998
Richard Guasch,BAL,0,0,0,4.98369,1,0,0,0,,1.43847,6,1,1,1,0,1,0.0,0,1,7.89936,4.23714,1.86432,1.40399,0.203675,0.109249,0.09442602843046188,0.250717,1.42031,0.288185,0.678504,,,4.97412,-0.00868633,-0.0275242,999.0,,,,,,,7.044655108451844,4.897335542713087,6.192334532737732,4.304815428531413,,,,,,,,,,,,,,,,,,,Orioles,sa3008434,683014
Will Childers,MIL,0,0,0,4.64993,1,0,0,0,,1.80746,8,2,1,1,0,1,0.0,0,1,7.25263,4.33224,1.67411,1.19836,0.18956,0.11323,0.07632949203252792,0.24404,1.38884,0.278578,0.685726,,,4.85211,-0.00869107,-0.00531853,999.0,,,,,,,7.175176286697389,3.9697648377441515,8.037281274795532,4.446736264152283,,,,,,,,,,,,,,,,,,,Brewers,sa3021720,682999
Jack Dallas,PHI,0,0,0,5.08241,1,0,0,0,,1.51895,6,1,1,1,0,1,0.0,0,1,6.36963,3.47509,1.83294,1.40592,0.168312,0.0918264,0.07648557424545288,0.260635,1.369,0.284357,0.653928,,,5.05186,-0.00869133,-0.0181241,999.0,,,,,,,7.640231657028199,5.029942085460244,6.5947511196136475,4.341650579294512,,,,,,,,,,,,,,,,,,,Phillies,sa3020490,806585
Penn Murfee,,0,0,0,5.08616,1,0,0,0,,0.811487,4,1,1,0,0,0,0.0,0,1,8.40661,5.27965,1.59227,1.67831,0.173465,0.108942,0.06452275812625885,0.256303,1.79997,0.284176,0.768555,,,5.64342,-0.00872035,-0.0571237,999.0,,,,,,,5.405006146430969,6.660616910002851,6.057436585426331,7.464610299990495,,,,,,,,,,,,,,,,,,,,25174,682171
Jonathan Russell,TBR,0,0,0,4.87536,1,0,0,0,,1.86327,8,2,1,1,0,1,0.0,0,1,6.43368,3.98157,1.61587,1.21873,0.167009,0.103356,0.06365331262350082,0.256542,1.41412,0.284701,0.671648,,,4.9435,-0.00872075,-0.0031825,999.0,,,,,,,7.5882106781005865,4.072519656747785,8.31635856628418,4.463309622056094,,,,,,,,,,,,,,,,,,,Rays,sa3022152,812163
Evan Justice,COL,0,0,0,5.56427,1,0,0,0,,0.998666,5,1,1,1,0,1,0.0,0,1,8.30692,6.15481,1.34966,1.37238,0.182882,0.135502,0.04738025367259979,0.270107,1.84493,0.312925,0.716949,,,5.51658,-0.00873511,-0.0346992,999.0,,,,,,,3.7901314020156867,3.7951926493845787,3.993332028388977,3.9986646248290496,,,,,,,,,,,,,,,,,,,Rockies,30008,687145
Bryce McGowan,COL,0,0,0,5.76146,1,0,0,0,,1.13191,5,1,1,1,0,1,0.0,0,1,6.34933,4.85241,1.30849,1.31303,0.158329,0.121001,0.03732769936323166,0.279492,1.61851,0.310073,0.650031,,,5.40269,-0.00873794,-0.0278871,999.0,,,,,,,4.776168155670167,4.219548091096248,4.659573078155518,4.116541136415624,,,,,,,,,,,,,,,,,,,Rockies,sa3017786,700245
