Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Clayton Kershaw","LAD",4.05729,2.49418,3.83546,3.74586,10.5036,10.2416,0,0,0,53.8578,224.183,50.5821,24.3652,22.416,6.94783,15.13,0.617734,1.91432,49.9798,8.35196,2.52832,3.30336,1.16103,0.222942,0.0674895,0.15545273572206497,0.244195,1.2201,0.290487,0.738533,,,3.93694,0.819032,0.960193,541.9000244140625,3.65422,0.356655,0.772096,3.65422,-0.356655,3.97054,229.9,4.257407407407407,228,4.222222222222222,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Alec Marsh","KCR",5.58998,6.91747,4.9258,4.61599,25.6051,16.3364,0,0.259428,0,93.8871,404.936,91.3632,52.3409,48.1536,13.7045,34.1137,0.887002,6.24802,90.6987,8.69437,3.27013,2.65872,1.31372,0.223983,0.0842445,0.13973822444677353,0.250602,1.33647,0.29849,0.688076,,,4.42168,0.814997,0.529133,660.52001953125,2.46964,-1.57825,0.500631,2.46964,1.57825,4.33249,348.80000000000007,3.7106382978723413,350,3.723404255319149,,,,,,,,,,,,,,,,,,,"Alec Marsh","27451",679525
"Marcus Stroman","NYY",6.08754,6.68655,6.01105,4.44213,26.7012,18.218,0.118335,2.17141,0.070122,110.344,477.768,111.649,59.1981,54.4622,13.598,40.593,0.508407,4.52227,85.3949,6.9651,3.31091,2.10368,1.1091,0.178737,0.0849639,0.09377311170101166,0.258058,1.37971,0.293866,0.698504,,,4.4473,0.812112,0.828051,521.1400146484375,1.73923,0.438276,0.728357,1.73923,-0.438276,4.02886,390.59999999999997,3.550909090909091,408,3.709090909090909,,,,,,,,,,,,,,,,,,,"Marcus Stroman","13431",573186
"Jonathan Cannon","CHW",6.49665,10.5563,9.00812,4.7857,29.6246,26.2185,0.0554114,0.300251,0,152.67,659.962,156.893,88.2409,81.1817,22.7789,52.4328,1.00839,6.36552,112.885,6.65462,3.09094,2.15294,1.34283,0.171048,0.0794482,0.09159935265779495,0.260982,1.37109,0.288107,0.682416,,,4.78271,0.808941,0.662522,673.3300170898438,2.9324,-1.83226,1.58496,2.9324,1.83226,2.88673,493.1000000000001,3.2228758169934646,518,3.3856209150326797,,,,,,,,,,,,,,,,,,,"Jonathan Cannon","31730",686563
"Chris Martin","TEX",3.51866,1.7392,0,3.25129,54.186,0,14.9776,8.89722,4.06915,56.5648,229.31,53.2569,22.2112,20.4343,5.88264,9.2002,1.16741,2.3856,58.475,9.30393,1.46384,6.35584,0.935983,0.255004,0.0401212,0.21488267928361893,0.244607,1.10417,0.308896,0.742252,,,3.06539,0.80833,0.77301,283.6700134277344,2.81603,0.205544,1.36358,2.81603,-0.205544,3.18189,404.2,7.091228070175438,401,7.035087719298246,,,,,,,,,,,,,,,,,,,"Chris Martin","11847",455119
"Robert Garcia","TEX",4.1312,3.54322,0,3.35913,61.4246,0,8.5908,14.2375,3.36031,62.6851,259.229,53.1948,25.4309,23.3964,6.04687,21.3707,1.60846,2.24969,69.7548,10.015,3.06829,3.26404,0.868178,0.269086,0.0824394,0.18664631992578506,0.225776,1.18952,0.295031,0.743339,,,3.32538,0.804005,0.782004,494.9800109863281,2.9511,-1.63292,0.917752,2.9511,1.63292,3.77633,426.6000000000001,6.771428571428573,409,6.492063492063492,,,,,,,,,,,,,,,,,,,"Robert Garcia","23363",676395
"Keegan Akin","BAL",3.52215,2.32094,0,3.49269,60.39,0.440745,0.653028,11.5478,1.30305,67.8513,276.763,58.2819,28.6212,26.3315,8.21208,18.9301,1.63925,2.10361,75.519,10.0171,2.51095,3.98935,1.08927,0.272865,0.0683984,0.20446698367595673,0.227905,1.13796,0.291107,0.739417,,,3.44385,0.798904,0.552647,687.9000244140625,2.65835,-1.10983,0.866709,2.65835,1.10983,3.84439,396.00000000000006,5.8235294117647065,378,5.5588235294117645,,,,,,,,,,,,,,,,,,,"Keegan Akin","19362",669211
"Bryan Abreu","HOU",3.4995,2.43662,0,3.15244,68.0826,0,4.53352,22.3278,4.05645,71.1833,295.611,54.5296,27.1016,24.9334,7.19209,29.5777,0.730119,4.27948,92.6126,11.7094,3.73963,3.13117,0.909326,0.313292,0.100056,0.21323616802692413,0.208324,1.18156,0.292299,0.769948,,,3.30476,0.77878,0.962259,451.4700012207031,1.63565,-0.882458,0.890808,1.63565,0.882458,3.81226,493.29999999999995,6.947887323943661,461,6.492957746478873,,,,,,,,,,,,,,,,,,,"Bryan Abreu","16609",650556
"Josh Hader","HOU",4.68137,4.13479,0,3.21676,61.1214,0,33.1066,0.833178,4.16586,62.4744,253.141,44.0294,24.2711,22.3294,7.79701,24.6578,0.757082,2.65323,87.4267,12.5946,3.55219,3.54559,1.12323,0.345368,0.0974076,0.247960165143013,0.194967,1.09945,0.277417,0.768825,,,3.30159,0.775407,0.794835,40.029998779296875,1.50757,1.48934,2.10034,1.50757,-1.48934,2.19955,505,8.14516129032258,465,7.5,,,,,,,,,,,,,,,,,,,"Josh Hader","14212",623352
"Cade Povich","BAL",5.18038,5.40681,4.66033,4.43335,21.1258,15.3093,0,0.791926,0,85.551,365.067,80.1292,45.8064,42.1419,12.1032,32.672,1.10621,3.31265,79.1833,8.33011,3.4371,2.42359,1.27326,0.216901,0.0894957,0.1274048164486885,0.243493,1.31853,0.286069,0.698905,,,4.41636,0.774184,0.508513,481.2799987792969,2.07958,-1.91519,0.221504,2.07958,1.91519,4.70466,334.79999999999995,3.893023255813953,328,3.813953488372093,,,,,,,,,,,,,,,,,,,"Cade Povich","30055",700249
