Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jose Davila","STL",0.0432,0.0785,0.0538,5.6061,0.1829,0.1739,0,0,,1,4.587,1.1304,0.6662,0.6229,0.157333,0.5148,0.0033,0.055,0.5425,4.8825,4.6332,1.05381,1.416,0.118269,0.11223,0.0060388073325157166,0.28139,1.6452,0.293325,0.68705,0.436398,,5.83621,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jose Davila","sa3015092",692369
"Michael Dominguez","TOR",0.0444,0.0774,0.0536,5.65011,0.1754,0.1754,0,0,,1,4.55,1.049,0.6635,0.62779,0.189778,0.5206,0.0031,0.0451,0.7443,6.6987,4.6854,1.4297,1.708,0.163582,0.114418,0.04916483163833618,0.263283,1.5696,0.281692,0.694909,0.324735,,5.84209,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Michael Dominguez","sa3011198",686597
"Javi Rivera","CIN",0.043,0.0788,0.051,5.78124,0.1754,0.1754,0,0,,1,4.523,1.1342,0.6816,0.64236,0.200556,0.4194,0.0031,0.057,0.68,6.12,3.7746,1.62136,1.805,0.150343,0.0927261,0.05761662870645523,0.280285,1.5536,0.294893,0.685092,0.400356,,5.8429,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Javi Rivera","sa3018184",695373
"Connor Oliver","PIT",0.0402,0.0758,0.038,5.73138,0.3816,0.1316,0,0,,1,4.667,1.1441,0.6799,0.63682,0.144222,0.5914,0.0092,0.05,0.5609,5.0481,5.3226,0.948427,1.298,0.120184,0.12672,-0.006535261869430542,0.284206,1.7355,0.301125,0.68832,0.425648,,5.84377,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Connor Oliver","sa3023200",700179
"Chris Villaman","TBR",0.0428,0.0765,0.0466,5.68395,0.267,0.156,0,0,,1,4.567,1.1159,0.6697,0.63155,0.181444,0.4988,0.0057,0.0445,0.6553,5.8977,4.4892,1.31375,1.633,0.143486,0.109218,0.03426758199930191,0.277332,1.6147,0.293213,0.694507,0.367149,,5.84456,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chris Villaman","sa3023559",682994
"Carter Spivey","CLE",0.0403,0.0817,0.0499,5.83758,0.1754,0.1754,0,0,,1,4.577,1.1679,0.6903,0.64862,0.176444,0.4565,0.0031,0.0484,0.5643,5.0787,4.1085,1.23614,1.588,0.12329,0.0997378,0.0235525444149971,0.286805,1.6244,0.297613,0.678173,0.416001,,5.84636,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Carter Spivey","sa3023477",701053
"Braydon Tucker","PHI",0.0444,0.0756,0.0484,5.69133,0.234,0.163,0,0,,1,4.505,1.1311,0.6713,0.63237,0.19,0.4203,0.0046,0.0516,0.6015,5.4135,3.7827,1.43112,1.71,0.133518,0.0932963,0.04022197425365448,0.280454,1.5514,0.29032,0.68469,0.388166,,5.84918,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Braydon Tucker","sa3023249",685319
"Noah Dean","BOS",0.0435,0.0756,0.045,5.71527,0.2711,0.1551,0,0,,1,4.724,1.0386,0.678,0.63503,0.137333,0.7538,0.0059,0.068,0.7839,7.0551,6.7842,1.03993,1.236,0.16594,0.159568,0.006371721625328064,0.266158,1.7924,0.30234,0.696442,0.434251,,5.84941,-0.0000999029,-0.000679999,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Noah Dean","sa3020740",688629
"Luke Taggart","COL",0.0366,0.0815,0.0353,6.1812,0.3131,0.1461,0,0,,1,4.597,1.2064,0.7279,0.6868,0.184444,0.4645,0.0071,0.046,0.6225,5.6025,4.1805,1.34015,1.66,0.135414,0.101044,0.03437023609876633,0.295216,1.6709,0.311614,0.667527,0.419506,,5.85076,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luke Taggart","sa3017932",689450
"Davis Polo","ATL",0.0452,0.0754,0.0467,5.86611,0.215,0.167,0,0,,1,4.586,1.1777,0.6936,0.65179,0.172889,0.4701,0.0043,0.0431,0.5505,4.9545,4.2309,1.17103,1.556,0.120039,0.102508,0.017531618475914,0.289162,1.6478,0.299996,0.678781,0.416877,,5.85264,-0.0000999029,-0.000679999,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Davis Polo","sa3019637",805175
